[ 2026-05-13 19:21:50 | node_8 | INFO ] ✅ [FORCE] Local model added for round 46. (2/5)
[ 2026-05-13 19:21:50 | node_21 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_31']
[ 2026-05-13 19:21:52 | node_41 | INFO ] 🧩 Model added for round 46 (4/7) from ['node_31']
[ 2026-05-13 19:21:55 | node_8 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_3', 'node_15', 'node_29', 'node_37']
[ 2026-05-13 19:21:55 | node_3 | INFO ] 🧩 Model added for round 46 (2/8) from ['node_8']
[ 2026-05-13 19:22:10 | node_14 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:10 | node_14 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:10 | node_14 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11721740663051605, 'test_acc': 0.9700000286102295, 'test_precision': 0.9736666679382324, 'test_recall': 0.9752583503723145, 'test_f1': 0.973746657371521, 'communication_cost': 33870564}
[ 2026-05-13 19:22:10 | node_14 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:12 | node_6 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:12 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:12 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.19136399030685425, 'test_acc': 0.9900000095367432, 'test_precision': 0.9904762506484985, 'test_recall': 0.9874510169029236, 'test_f1': 0.9886434674263, 'communication_cost': 26343772}
[ 2026-05-13 19:22:13 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:15 | node_14 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:15 | node_14 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:16 | node_14 | INFO ] ♻️ Proactively processing 4 early models for round 46.
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🧩 Model added for round 46 (1/10) from ['node_35']
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🧩 Model added for round 46 (2/10) from ['node_26']
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🧩 Model added for round 46 (3/10) from ['node_10']
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🧩 Model added for round 46 (4/10) from ['node_21']
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:16 | node_6 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:16 | node_14 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:17 | node_14 | INFO ] ✅ [FORCE] Local model added for round 46. (5/10)
[ 2026-05-13 19:22:17 | node_6 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:17 | node_6 | INFO ] ♻️ Proactively processing 4 early models for round 46.
[ 2026-05-13 19:22:17 | node_6 | INFO ] 🧩 Model added for round 46 (1/8) from ['node_3']
[ 2026-05-13 19:22:17 | node_6 | INFO ] 🧩 Model added for round 46 (2/8) from ['node_16']
[ 2026-05-13 19:22:17 | node_6 | INFO ] 🧩 Model added for round 46 (3/8) from ['node_10']
[ 2026-05-13 19:22:17 | node_6 | INFO ] 🧩 Model added for round 46 (4/8) from ['node_41']
