[ 2026-05-13 06:00:38 | node_16 | INFO ] 🧩 Model added for round 46 (10/10) from ['node_33']
[ 2026-05-13 06:00:38 | node | INFO ] 🧩 Model added for round 46 (13/15) from ['node_30']
[ 2026-05-13 06:00:38 | node_6 | INFO ] 🧩 Model added for round 46 (8/9) from ['node_25']
[ 2026-05-13 06:00:39 | node_37 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_8']
[ 2026-05-13 06:00:39 | node_17 | INFO ] 🧩 Model added for round 46 (9/10) from ['node_33']
[ 2026-05-13 06:00:39 | node_48 | INFO ] 🧩 Model added for round 46 (6/6) from ['node_34']
[ 2026-05-13 06:00:40 | node_10 | INFO ] 🧩 Model added for round 46 (7/9) from ['node_25']
[ 2026-05-13 06:00:40 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:40 | node_16 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:40 | node_10 | INFO ] 🧩 Model added for round 46 (8/9) from ['node_30']
[ 2026-05-13 06:00:40 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:41 | node_37 | INFO ] 🧩 Model added for round 46 (8/10) from ['node_33']
[ 2026-05-13 06:00:41 | node_45 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_8']
[ 2026-05-13 06:00:41 | node_16 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:41 | node_12 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_25']
[ 2026-05-13 06:00:41 | node_43 | INFO ] 📤 Sending model to 11 direct neighbors: ['node_4', 'node_7', 'node_15', 'node_22', 'node_25', 'node_30', 'node_33', 'node_34', 'node_37', 'node_39', 'node_46']
[ 2026-05-13 06:00:41 | node_39 | INFO ] 📤 Sending model to 13 direct neighbors: ['node', 'node_1', 'node_3', 'node_4', 'node_7', 'node_22', 'node_23', 'node_25', 'node_27', 'node_32', 'node_42', 'node_43', 'node_49']
[ 2026-05-13 06:00:42 | node_47 | INFO ] 🧩 Model added for round 46 (12/12) from ['node_8']
[ 2026-05-13 06:00:42 | node_4 | INFO ] 🧩 Model added for round 46 (8/10) from ['node_43']
[ 2026-05-13 06:00:42 | node_11 | INFO ] 🧩 Model added for round 46 (9/10) from ['node_30']
[ 2026-05-13 06:00:42 | node_38 | INFO ] 🧩 Model added for round 46 (7/8) from ['node_33']
[ 2026-05-13 06:00:42 | node | INFO ] 🧩 Model added for round 46 (14/15) from ['node_39']
[ 2026-05-13 06:00:42 | node_21 | INFO ] 🧩 Model added for round 46 (9/9) from ['node_25']
[ 2026-05-13 06:00:42 | node_45 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:42 | node_12 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:43 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:43 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:44 | node_7 | INFO ] 🧩 Model added for round 46 (6/7) from ['node_43']
[ 2026-05-13 06:00:44 | node_43 | INFO ] 🧩 Model added for round 46 (8/12) from ['node_33']
[ 2026-05-13 06:00:44 | node_1 | INFO ] 🧩 Model added for round 46 (8/9) from ['node_39']
[ 2026-05-13 06:00:44 | node_17 | INFO ] 🧩 Model added for round 46 (10/10) from ['node_30']
[ 2026-05-13 06:00:44 | node_21 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:44 | node_24 | INFO ] 🧩 Model added for round 46 (4/4) from ['node_25']
[ 2026-05-13 06:00:45 | node_21 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:45 | node_15 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_43']
[ 2026-05-13 06:00:45 | node_20 | INFO ] 🧩 Model added for round 46 (6/6) from ['node_30']
[ 2026-05-13 06:00:46 | node_34 | INFO ] 🧩 Model added for round 46 (8/11) from ['node_25']
[ 2026-05-13 06:00:46 | node_3 | INFO ] 🧩 Model added for round 46 (8/8) from ['node_39']
[ 2026-05-13 06:00:46 | node_47 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:46 | node_24 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:46 | node_15 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:46 | node_3 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:46 | node_17 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:46 | node_20 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:46 | node_24 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:47 | node_20 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:47 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:47 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:47 | node_47 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:47 | node_25 | INFO ] 🧩 Model added for round 46 (11/13) from ['node_43']
[ 2026-05-13 06:00:47 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:47 | node_4 | INFO ] 🧩 Model added for round 46 (9/10) from ['node_39']
[ 2026-05-13 06:00:48 | node_39 | INFO ] 🧩 Model added for round 46 (12/14) from ['node_25']
[ 2026-05-13 06:00:48 | node_28 | INFO ] 🧩 Model added for round 46 (9/9) from ['node_30']
[ 2026-05-13 06:00:49 | node_7 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_39']
[ 2026-05-13 06:00:49 | node_32 | INFO ] 🧩 Model added for round 46 (10/11) from ['node_30']
[ 2026-05-13 06:00:49 | node_28 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:49 | node_7 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:49 | node_30 | INFO ] 🧩 Model added for round 46 (14/15) from ['node_43']
