[ 2026-03-29 14:13:40 | node_27 | INFO ] 🧩 Model added for round 93 (7/11) from ['node_31']
[ 2026-03-29 14:13:41 | node_29 | INFO ] 🧩 Model added for round 93 (6/10) from ['node_31']
[ 2026-03-29 14:13:41 | node_28 | INFO ] 📤 Sending model to 10 direct neighbors: ['node', 'node_3', 'node_7', 'node_9', 'node_13', 'node_22', 'node_26', 'node_35', 'node_44', 'node_47']
[ 2026-03-29 14:13:42 | node_32 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:13:42 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:13:42 | node | INFO ] 🧩 Model added for round 93 (5/9) from ['node_28']
[ 2026-03-29 14:13:42 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.08410006761550903, 'test_acc': 0.9800000190734863, 'test_precision': 0.9763545989990234, 'test_recall': 0.9797474145889282, 'test_f1': 0.9775875210762024, 'communication_cost': 26343772}
[ 2026-03-29 14:13:42 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:13:43 | node_3 | INFO ] 🧩 Model added for round 93 (5/8) from ['node_28']
[ 2026-03-29 14:13:43 | node_46 | INFO ] 🧩 Model added for round 93 (4/11) from ['node_31']
[ 2026-03-29 14:13:44 | node_7 | INFO ] 🧩 Model added for round 93 (7/11) from ['node_28']
[ 2026-03-29 14:13:44 | node_3 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_27', 'node_28', 'node_31', 'node_32', 'node_33', 'node_45', 'node_46']
[ 2026-03-29 14:13:45 | node_27 | INFO ] 🧩 Model added for round 93 (8/11) from ['node_3']
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 14:13:45 | node_45 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:13:45 | node_32 | INFO ] ♻️ Proactively processing 4 early models for round 93.
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🧩 Model added for round 93 (1/8) from ['node_41']
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🧩 Model added for round 93 (2/8) from ['node_4']
[ 2026-03-29 14:13:45 | node_45 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🧩 Model added for round 93 (3/8) from ['node_19']
[ 2026-03-29 14:13:45 | node_9 | INFO ] 🧩 Model added for round 93 (6/9) from ['node_28']
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🧩 Model added for round 93 (4/8) from ['node_11']
[ 2026-03-29 14:13:45 | node_32 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 14:13:46 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.10559698939323425, 'test_acc': 0.9900000095367432, 'test_precision': 0.9897500872612, 'test_recall': 0.9894445538520813, 'test_f1': 0.9893122315406799, 'communication_cost': 30107168}
[ 2026-03-29 14:13:46 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:13:46 | node_32 | INFO ] 🎓 Training step done.
[ 2026-03-29 14:13:46 | node_32 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 14:13:46 | node_32 | INFO ] ✅ [FORCE] Local model added for round 93. (5/8)
[ 2026-03-29 14:13:46 | node_28 | INFO ] 🧩 Model added for round 93 (9/11) from ['node_3']
[ 2026-03-29 14:13:47 | node_22 | INFO ] 🧩 Model added for round 93 (5/9) from ['node_28']
[ 2026-03-29 14:13:47 | node_37 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-03-29 14:13:47 | node_37 | INFO ] 🔬 Evaluating...
[ 2026-03-29 14:13:47 | node_37 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.283685564994812, 'test_acc': 0.9700000286102295, 'test_precision': 0.9705989956855774, 'test_recall': 0.9719170331954956, 'test_f1': 0.9709038734436035, 'communication_cost': 18816980}
[ 2026-03-29 14:13:48 | node_37 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 14:13:48 | node_31 | INFO ] 🧩 Model added for round 93 (6/9) from ['node_3']
