[ 2026-03-29 15:25:42 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_6 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_5 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_6 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_7 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_7 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_8 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_8 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_9 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_9 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_10 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_9 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_10 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_10 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_11 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_11 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_12 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_13 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
[ 2026-03-29 15:25:42 | node_12 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_13 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-29 15:25:42 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-29 15:25:42 | node_14 | INFO ] 🧩 Model added for round 99 (2/2) from ['node']
