[ 2026-03-28 13:46:38 | node_28 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 13:46:39 | node_24 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 13:46:39 | node_24 | INFO ] 😋 Training finished!!
[ 2026-03-28 13:46:40 | node_28 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 13:46:40 | node_28 | INFO ] 😋 Training finished!!
[ 2026-03-28 13:46:41 | node_30 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 13:46:41 | node_30 | INFO ] 🔬 Evaluating...
[ 2026-03-28 13:46:42 | node_40 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 13:46:42 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-28 13:46:42 | node_30 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0030627327505499125, 'test_accuracy': 0.9905524849891663, 'test_precision': 0.2155483216047287, 'test_recall': 0.6797175407409668, 'test_f1': 0.32365429401397705, 'communication_cost': 11662528}
[ 2026-03-28 13:46:42 | node_30 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 13:46:43 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0032132358755916357, 'test_accuracy': 0.9913622736930847, 'test_precision': 0.2382259964942932, 'test_recall': 0.6530308127403259, 'test_f1': 0.34438803791999817, 'communication_cost': 8017988}
[ 2026-03-28 13:46:43 | node_47 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 13:46:43 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-28 13:46:43 | node_40 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 13:46:44 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0039712595753371716, 'test_accuracy': 0.9916321635246277, 'test_precision': 0.26598432660102844, 'test_recall': 0.5722658038139343, 'test_f1': 0.3582598567008972, 'communication_cost': 5102356}
[ 2026-03-28 13:46:44 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 13:46:45 | node_40 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 13:46:45 | node_40 | INFO ] 😋 Training finished!!
[ 2026-03-28 13:46:45 | node_30 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 13:46:45 | node_30 | INFO ] 😋 Training finished!!
[ 2026-03-28 13:46:45 | node_47 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 13:46:45 | node_47 | INFO ] 😋 Training finished!!
[ 2026-03-28 13:47:05 | node_20 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 13:47:05 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-28 13:47:07 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0035520396195352077, 'test_accuracy': 0.9897426962852478, 'test_precision': 0.20442751049995422, 'test_recall': 0.5723592042922974, 'test_f1': 0.3001421391963959, 'communication_cost': 8017988}
[ 2026-03-28 13:47:07 | node_20 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 13:47:09 | node_20 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 13:47:09 | node_20 | INFO ] 😋 Training finished!!
[ 2026-03-28 13:47:09 | None | INFO ] 🏁 All nodes finished training. Waiting 10s for final synchronization...
[ 2026-03-28 13:47:21 | node | INFO ] Stopping node...
[ 2026-03-28 13:47:21 | node | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:21 | node | INFO ] InMemoryServer stopped at node
[ 2026-03-28 13:47:21 | node_1 | INFO ] Stopping node...
[ 2026-03-28 13:47:21 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:21 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2026-03-28 13:47:21 | node_2 | INFO ] Stopping node...
[ 2026-03-28 13:47:21 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:21 | node_2 | INFO ] InMemoryServer stopped at node_2
[ 2026-03-28 13:47:21 | node_3 | INFO ] Stopping node...
[ 2026-03-28 13:47:21 | node_3 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:21 | node_3 | INFO ] InMemoryServer stopped at node_3
[ 2026-03-28 13:47:21 | node_4 | INFO ] Stopping node...
[ 2026-03-28 13:47:21 | node_4 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:22 | node_4 | INFO ] InMemoryServer stopped at node_4
[ 2026-03-28 13:47:22 | node_5 | INFO ] Stopping node...
[ 2026-03-28 13:47:22 | node_5 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:22 | node_5 | INFO ] InMemoryServer stopped at node_5
[ 2026-03-28 13:47:22 | node_6 | INFO ] Stopping node...
[ 2026-03-28 13:47:22 | node_6 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:22 | node_6 | INFO ] InMemoryServer stopped at node_6
[ 2026-03-28 13:47:22 | node_7 | INFO ] Stopping node...
[ 2026-03-28 13:47:22 | node_7 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:22 | node_7 | INFO ] InMemoryServer stopped at node_7
[ 2026-03-28 13:47:22 | node_8 | INFO ] Stopping node...
[ 2026-03-28 13:47:22 | node_8 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:22 | node_8 | INFO ] InMemoryServer stopped at node_8
[ 2026-03-28 13:47:22 | node_9 | INFO ] Stopping node...
[ 2026-03-28 13:47:22 | node_9 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_9 | INFO ] InMemoryServer stopped at node_9
[ 2026-03-28 13:47:23 | node_10 | INFO ] Stopping node...
[ 2026-03-28 13:47:23 | node_10 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_10 | INFO ] InMemoryServer stopped at node_10
[ 2026-03-28 13:47:23 | node_11 | INFO ] Stopping node...
[ 2026-03-28 13:47:23 | node_11 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_11 | INFO ] InMemoryServer stopped at node_11
[ 2026-03-28 13:47:23 | node_12 | INFO ] Stopping node...
[ 2026-03-28 13:47:23 | node_12 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_12 | INFO ] InMemoryServer stopped at node_12
[ 2026-03-28 13:47:23 | node_13 | INFO ] Stopping node...
[ 2026-03-28 13:47:23 | node_13 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_13 | INFO ] InMemoryServer stopped at node_13
[ 2026-03-28 13:47:23 | node_14 | INFO ] Stopping node...
[ 2026-03-28 13:47:23 | node_14 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_14 | INFO ] InMemoryServer stopped at node_14
[ 2026-03-28 13:47:23 | node_15 | INFO ] Stopping node...
[ 2026-03-28 13:47:23 | node_15 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:23 | node_15 | INFO ] InMemoryServer stopped at node_15
[ 2026-03-28 13:47:24 | node_16 | INFO ] Stopping node...
[ 2026-03-28 13:47:24 | node_16 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:24 | node_16 | INFO ] InMemoryServer stopped at node_16
[ 2026-03-28 13:47:24 | node_17 | INFO ] Stopping node...
[ 2026-03-28 13:47:24 | node_17 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:24 | node_17 | INFO ] InMemoryServer stopped at node_17
[ 2026-03-28 13:47:24 | node_18 | INFO ] Stopping node...
[ 2026-03-28 13:47:24 | node_18 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:24 | node_18 | INFO ] InMemoryServer stopped at node_18
[ 2026-03-28 13:47:24 | node_19 | INFO ] Stopping node...
[ 2026-03-28 13:47:24 | node_19 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:24 | node_19 | INFO ] InMemoryServer stopped at node_19
[ 2026-03-28 13:47:24 | node_20 | INFO ] Stopping node...
[ 2026-03-28 13:47:24 | node_20 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:24 | node_20 | INFO ] InMemoryServer stopped at node_20
[ 2026-03-28 13:47:24 | node_21 | INFO ] Stopping node...
[ 2026-03-28 13:47:24 | node_21 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:24 | node_21 | INFO ] InMemoryServer stopped at node_21
[ 2026-03-28 13:47:25 | node_22 | INFO ] Stopping node...
[ 2026-03-28 13:47:25 | node_22 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:25 | node_22 | INFO ] InMemoryServer stopped at node_22
[ 2026-03-28 13:47:25 | node_23 | INFO ] Stopping node...
[ 2026-03-28 13:47:25 | node_23 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:25 | node_23 | INFO ] InMemoryServer stopped at node_23
[ 2026-03-28 13:47:25 | node_24 | INFO ] Stopping node...
[ 2026-03-28 13:47:25 | node_24 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:25 | node_24 | INFO ] InMemoryServer stopped at node_24
[ 2026-03-28 13:47:26 | node_25 | INFO ] Stopping node...
[ 2026-03-28 13:47:26 | node_25 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:26 | node_25 | INFO ] InMemoryServer stopped at node_25
[ 2026-03-28 13:47:26 | node_26 | INFO ] Stopping node...
[ 2026-03-28 13:47:26 | node_26 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:26 | node_26 | INFO ] InMemoryServer stopped at node_26
[ 2026-03-28 13:47:26 | node_27 | INFO ] Stopping node...
[ 2026-03-28 13:47:26 | node_27 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:27 | node_27 | INFO ] InMemoryServer stopped at node_27
[ 2026-03-28 13:47:27 | node_28 | INFO ] Stopping node...
[ 2026-03-28 13:47:27 | node_28 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:27 | node_28 | INFO ] InMemoryServer stopped at node_28
[ 2026-03-28 13:47:27 | node_29 | INFO ] Stopping node...
[ 2026-03-28 13:47:27 | node_29 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:27 | node_29 | INFO ] InMemoryServer stopped at node_29
[ 2026-03-28 13:47:27 | node_30 | INFO ] Stopping node...
[ 2026-03-28 13:47:27 | node_30 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:27 | node_30 | INFO ] InMemoryServer stopped at node_30
[ 2026-03-28 13:47:27 | node_31 | INFO ] Stopping node...
[ 2026-03-28 13:47:28 | node_31 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:28 | node_31 | INFO ] InMemoryServer stopped at node_31
[ 2026-03-28 13:47:28 | node_32 | INFO ] Stopping node...
[ 2026-03-28 13:47:28 | node_32 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:28 | node_32 | INFO ] InMemoryServer stopped at node_32
[ 2026-03-28 13:47:28 | node_33 | INFO ] Stopping node...
