[ 2026-03-29 19:39:47 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0032016076147556305, 'test_accuracy': 0.991092324256897, 'test_precision': 0.26833540201187134, 'test_recall': 0.7361795902252197, 'test_f1': 0.3921811282634735, 'communication_cost': 8017988}
[ 2026-03-29 19:39:47 | node_34 | INFO ] 🧩 Model added for round 141 (5/10) from ['node_20']
[ 2026-03-29 19:39:47 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:47 | node_10 | INFO ] 🧩 Model added for round 141 (4/8) from ['node']
[ 2026-03-29 19:39:47 | node_49 | INFO ] 🧩 Model added for round 141 (1/9) from ['node_29']
[ 2026-03-29 19:39:47 | node_12 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_4', 'node_26', 'node_36', 'node_38']
[ 2026-03-29 19:39:48 | node_38 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0038180919364094734, 'test_accuracy': 0.9888429045677185, 'test_precision': 0.1805945783853531, 'test_recall': 0.5844177603721619, 'test_f1': 0.27366384863853455, 'communication_cost': 7289080}
[ 2026-03-29 19:39:48 | node_25 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_1', 'node_9', 'node_13', 'node_30', 'node_35', 'node_42', 'node_43']
[ 2026-03-29 19:39:48 | node_7 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:48 | node_38 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:48 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004401957616209984, 'test_accuracy': 0.9920820593833923, 'test_precision': 0.2494647055864334, 'test_recall': 0.4777877628803253, 'test_f1': 0.32646623253822327, 'communication_cost': 8017988}
[ 2026-03-29 19:39:48 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0033147430513054132, 'test_accuracy': 0.9905524849891663, 'test_precision': 0.20417387783527374, 'test_recall': 0.6316229104995728, 'test_f1': 0.3059915006160736, 'communication_cost': 2915632}
[ 2026-03-29 19:39:48 | node_7 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:48 | node_24 | INFO ] 🧩 Model added for round 141 (2/8) from ['node_21']
[ 2026-03-29 19:39:48 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:48 | node_27 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:48 | node_35 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0028987929690629244, 'test_accuracy': 0.9910023212432861, 'test_precision': 0.25136223435401917, 'test_recall': 0.7269659638404846, 'test_f1': 0.36838656663894653, 'communication_cost': 7289080}
[ 2026-03-29 19:39:48 | node_41 | INFO ] 🧩 Model added for round 141 (2/9) from ['node_46']
[ 2026-03-29 19:39:48 | node_7 | INFO ] ♻️ Proactively processing 5 early models for round 141.
[ 2026-03-29 19:39:48 | node_35 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:48 | node_1 | INFO ] 🧩 Model added for round 141 (2/9) from ['node_12']
[ 2026-03-29 19:39:48 | node_7 | INFO ] 🧩 Model added for round 141 (1/14) from ['node_22']
[ 2026-03-29 19:39:48 | node_1 | INFO ] 🧩 Model added for round 141 (3/9) from ['node_25']
[ 2026-03-29 19:39:48 | node_7 | INFO ] 🧩 Model added for round 141 (2/14) from ['node_20']
[ 2026-03-29 19:39:48 | node_7 | INFO ] 🧩 Model added for round 141 (3/14) from ['node_14']
[ 2026-03-29 19:39:48 | node_46 | INFO ] 🧩 Model added for round 141 (3/7) from ['node_41']
[ 2026-03-29 19:39:48 | node_37 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_7', 'node_9', 'node_15', 'node_20', 'node_21', 'node_24', 'node_28', 'node_30', 'node_35', 'node_38']
[ 2026-03-29 19:39:48 | node_3 | INFO ] 🧩 Model added for round 141 (3/6) from ['node_30']
[ 2026-03-29 19:39:48 | node_36 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:48 | node_34 | INFO ] 🧩 Model added for round 141 (6/10) from ['node_3']
[ 2026-03-29 19:39:48 | node_7 | INFO ] 🧩 Model added for round 141 (4/14) from ['node_4']
[ 2026-03-29 19:39:49 | node_15 | INFO ] 🧩 Model added for round 141 (3/9) from ['node_44']
[ 2026-03-29 19:39:49 | node_12 | INFO ] 🧩 Model added for round 141 (3/6) from ['node_4']
[ 2026-03-29 19:39:49 | node_7 | INFO ] 🧩 Model added for round 141 (5/14) from ['node']
[ 2026-03-29 19:39:49 | node_36 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:49 | node_7 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:49 | node_43 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-29 19:39:49 | node_7 | INFO ] 🧩 Model added for round 141 (6/14) from ['node_9']
[ 2026-03-29 19:39:49 | node_36 | INFO ] ♻️ Proactively processing 2 early models for round 141.
[ 2026-03-29 19:39:49 | node_7 | INFO ] 🧩 Model added for round 141 (7/14) from ['node_37']
[ 2026-03-29 19:39:49 | node_10 | INFO ] 🧩 Model added for round 141 (5/8) from ['node_2']
[ 2026-03-29 19:39:49 | node_49 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:49 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-03-29 19:39:49 | node_36 | INFO ] 🧩 Model added for round 141 (1/8) from ['node_5']
[ 2026-03-29 19:39:49 | node_49 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:49 | node_36 | INFO ] 🧩 Model added for round 141 (2/8) from ['node_24']
[ 2026-03-29 19:39:49 | node_36 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:49 | node_49 | INFO ] ✅ [FORCE] Local model added for round 141. (2/9)
[ 2026-03-29 19:39:49 | node_24 | INFO ] 🧩 Model added for round 141 (3/8) from ['node_33']
[ 2026-03-29 19:39:49 | node_17 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_26', 'node_31', 'node_38', 'node_41']
[ 2026-03-29 19:39:49 | node_14 | INFO ] 🧩 Model added for round 141 (3/7) from ['node']
[ 2026-03-29 19:39:50 | node_39 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:50 | node_39 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:50 | node_1 | INFO ] 🧩 Model added for round 141 (4/9) from ['node_17']
[ 2026-03-29 19:39:50 | node_37 | INFO ] 🧩 Model added for round 141 (5/11) from ['node_21']
[ 2026-03-29 19:39:50 | node_36 | INFO ] 🧩 Model added for round 141 (3/8) from ['node_20']
[ 2026-03-29 19:39:50 | node_6 | INFO ] 🧩 Model added for round 141 (4/7) from ['node_30']
[ 2026-03-29 19:39:50 | node_40 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:50 | node_19 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:50 | node_39 | INFO ] ♻️ Proactively processing 2 early models for round 141.
[ 2026-03-29 19:39:50 | node_18 | INFO ] 🧩 Model added for round 141 (4/9) from ['node_4']
[ 2026-03-29 19:39:50 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003875913331285119, 'test_accuracy': 0.9921720623970032, 'test_precision': 0.3009920120239258, 'test_recall': 0.6990222930908203, 'test_f1': 0.41705799102783203, 'communication_cost': 5102356}
[ 2026-03-29 19:39:50 | node_39 | INFO ] 🧩 Model added for round 141 (1/10) from ['node_13']
[ 2026-03-29 19:39:50 | node_44 | INFO ] 🧩 Model added for round 141 (4/9) from ['node_46']
[ 2026-03-29 19:39:50 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:50 | node_40 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:50 | node_19 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:50 | node_39 | INFO ] 🧩 Model added for round 141 (2/10) from ['node_22']
[ 2026-03-29 19:39:50 | node_8 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:50 | node_39 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:50 | node_4 | INFO ] 🧩 Model added for round 141 (6/10) from ['node_12']
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:51 | node_19 | INFO ] ♻️ Proactively processing 4 early models for round 141.
[ 2026-03-29 19:39:51 | node_40 | INFO ] ♻️ Proactively processing 3 early models for round 141.
[ 2026-03-29 19:39:51 | node_9 | INFO ] 🧩 Model added for round 141 (6/12) from ['node_25']
[ 2026-03-29 19:39:51 | node_42 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:51 | node_40 | INFO ] 🧩 Model added for round 141 (1/11) from ['node_11']
[ 2026-03-29 19:39:51 | node_19 | INFO ] 🧩 Model added for round 141 (1/9) from ['node_22']
[ 2026-03-29 19:39:51 | node_34 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_1', 'node_3', 'node_10', 'node_20', 'node_26', 'node_28', 'node_33', 'node_43', 'node_44']
[ 2026-03-29 19:39:51 | node_32 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-29 19:39:51 | node_40 | INFO ] 🧩 Model added for round 141 (2/11) from ['node_15']
[ 2026-03-29 19:39:51 | node_19 | INFO ] 🧩 Model added for round 141 (2/9) from ['node_21']
[ 2026-03-29 19:39:51 | node_42 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:51 | node_40 | INFO ] 🧩 Model added for round 141 (3/11) from ['node_14']
[ 2026-03-29 19:39:51 | node_8 | INFO ] ♻️ Proactively processing 5 early models for round 141.
[ 2026-03-29 19:39:51 | node_19 | INFO ] 🧩 Model added for round 141 (3/9) from ['node_41']
[ 2026-03-29 19:39:51 | node_15 | INFO ] 🧩 Model added for round 141 (4/9) from ['node_2']
[ 2026-03-29 19:39:51 | node_40 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🧩 Model added for round 141 (1/12) from ['node_15']
[ 2026-03-29 19:39:51 | node_19 | INFO ] 🧩 Model added for round 141 (4/9) from ['node_46']
[ 2026-03-29 19:39:51 | node_7 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:51 | node_32 | INFO ] 🔬 Evaluating...
[ 2026-03-29 19:39:51 | node_19 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🧩 Model added for round 141 (2/12) from ['node_1']
[ 2026-03-29 19:39:51 | node_7 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:51 | node_31 | INFO ] ♻️ Proactively processing 5 early models for round 141.
[ 2026-03-29 19:39:51 | node_42 | INFO ] ♻️ Proactively processing 3 early models for round 141.
[ 2026-03-29 19:39:51 | node_27 | INFO ] 🎉 Round 141 of 150 finished.
[ 2026-03-29 19:39:51 | node_16 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_7', 'node_15', 'node_19', 'node_28', 'node_38', 'node_42', 'node_45']
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🧩 Model added for round 141 (3/12) from ['node_41']
[ 2026-03-29 19:39:51 | node_7 | INFO ] ✅ [FORCE] Local model added for round 141. (8/14)
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🧩 Model added for round 141 (1/8) from ['node_10']
[ 2026-03-29 19:39:51 | node_42 | INFO ] 🧩 Model added for round 141 (1/9) from ['node_15']
[ 2026-03-29 19:39:51 | node_30 | INFO ] 🧩 Model added for round 141 (4/10) from ['node_44']
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🧩 Model added for round 141 (4/12) from ['node_14']
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🧩 Model added for round 141 (2/8) from ['node_24']
[ 2026-03-29 19:39:51 | node_48 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-29 19:39:51 | node_27 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-29 19:39:51 | node_42 | INFO ] 🧩 Model added for round 141 (2/9) from ['node_29']
[ 2026-03-29 19:39:51 | node_1 | INFO ] 🧩 Model added for round 141 (5/9) from ['node_34']
[ 2026-03-29 19:39:51 | node_28 | INFO ] 🧩 Model added for round 141 (3/7) from ['node_33']
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🧩 Model added for round 141 (5/12) from ['node_44']
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🧩 Model added for round 141 (3/8) from ['node_29']
[ 2026-03-29 19:39:51 | node_42 | INFO ] 🧩 Model added for round 141 (3/9) from ['node_41']
[ 2026-03-29 19:39:51 | node_8 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🧩 Model added for round 141 (4/8) from ['node_41']
[ 2026-03-29 19:39:51 | node_42 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:51 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-03-29 19:39:51 | node_31 | INFO ] 🧩 Model added for round 141 (5/8) from ['node_3']
[ 2026-03-29 19:39:51 | node_27 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:52 | node_31 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-29 19:39:52 | node_30 | INFO ] 🧩 Model added for round 141 (5/10) from ['node']
[ 2026-03-29 19:39:52 | node_7 | INFO ] 🧩 Model added for round 141 (9/14) from ['node_16']
[ 2026-03-29 19:39:52 | node_36 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:52 | node_36 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:52 | node_22 | INFO ] 🧩 Model added for round 141 (6/9) from ['node_9']
[ 2026-03-29 19:39:52 | node_36 | INFO ] ✅ [FORCE] Local model added for round 141. (4/8)
[ 2026-03-29 19:39:52 | node_7 | INFO ] 🧩 Model added for round 141 (10/14) from ['node_30']
[ 2026-03-29 19:39:52 | node_37 | INFO ] 🧩 Model added for round 141 (6/11) from ['node_20']
[ 2026-03-29 19:39:52 | node_9 | INFO ] 🧩 Model added for round 141 (7/12) from ['node_37']
[ 2026-03-29 19:39:52 | node_28 | INFO ] 🧩 Model added for round 141 (4/7) from ['node_4']
[ 2026-03-29 19:39:52 | node_31 | INFO ] 🧩 Model added for round 141 (6/8) from ['node_17']
[ 2026-03-29 19:39:52 | node_32 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003481105901300907, 'test_accuracy': 0.9921720623970032, 'test_precision': 0.2863871157169342, 'test_recall': 0.5836139917373657, 'test_f1': 0.3703356385231018, 'communication_cost': 5831264}
[ 2026-03-29 19:39:52 | node_32 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-29 19:39:53 | node_34 | INFO ] 🧩 Model added for round 141 (7/10) from ['node_33']
[ 2026-03-29 19:39:53 | node_19 | INFO ] 🧩 Model added for round 141 (5/9) from ['node_2']
[ 2026-03-29 19:39:53 | node_39 | INFO ] 🎓 Training step done.
[ 2026-03-29 19:39:53 | node_13 | INFO ] 🧩 Model added for round 141 (3/6) from ['node_25']
[ 2026-03-29 19:39:53 | node_39 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-29 19:39:53 | node_3 | INFO ] 🧩 Model added for round 141 (4/6) from ['node_34']
[ 2026-03-29 19:39:53 | node_36 | INFO ] 🧩 Model added for round 141 (5/8) from ['node_12']
[ 2026-03-29 19:39:53 | node_39 | INFO ] ✅ [FORCE] Local model added for round 141. (3/10)
[ 2026-03-29 19:39:53 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0027309181168675423, 'test_accuracy': 0.9931617975234985, 'test_precision': 0.3765796720981598, 'test_recall': 0.733348548412323, 'test_f1': 0.46341919898986816, 'communication_cost': 7289080}
