[ 2026-03-28 12:10:28 | node_14 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_13 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_15 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_14 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_16 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_15 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_15 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_17 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_16 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_16 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_17 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_18 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_17 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_19 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_18 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_18 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_20 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_19 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_19 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_21 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_20 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_20 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_22 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_21 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-28 12:10:28 | node_21 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-28 12:10:28 | node_23 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-28 12:10:28 | node_22 | INFO ] 🧠 Aggregation complete. Setting new model.
