[ 2026-03-28 15:23:44 | node_46 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:44 | node_41 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 15:23:44 | node_41 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:45 | node_47 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 15:23:45 | node_47 | INFO ] 🔬 Evaluating...
[ 2026-03-28 15:23:46 | node_39 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 15:23:46 | node_39 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:46 | node_9 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 15:23:46 | node_9 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:46 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004644859582185745, 'test_accuracy': 0.9915422201156616, 'test_precision': 0.21840210258960724, 'test_recall': 0.49611207842826843, 'test_f1': 0.29677504301071167, 'communication_cost': 4012888}
[ 2026-03-28 15:23:47 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 15:23:47 | node_35 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 15:23:47 | node_35 | INFO ] 🔬 Evaluating...
[ 2026-03-28 15:23:48 | node_35 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004169046878814697, 'test_accuracy': 0.9924419522285461, 'test_precision': 0.2849659323692322, 'test_recall': 0.5020535588264465, 'test_f1': 0.3602084219455719, 'communication_cost': 4377696}
[ 2026-03-28 15:23:48 | node_35 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 15:23:49 | node_47 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 15:23:49 | node_47 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:50 | node_33 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 15:23:50 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-03-28 15:23:51 | node_35 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 15:23:51 | node_35 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:51 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.00467592291533947, 'test_accuracy': 0.992531955242157, 'test_precision': 0.3025278151035309, 'test_recall': 0.45424190163612366, 'test_f1': 0.3470923602581024, 'communication_cost': 3648080}
[ 2026-03-28 15:23:51 | node_33 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 15:23:54 | node_33 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-28 15:23:54 | node_33 | INFO ] 😋 Training finished!!
[ 2026-03-28 15:23:54 | None | INFO ] 🏁 All nodes finished training. Waiting 10s for final synchronization...
[ 2026-03-28 15:24:10 | node | INFO ] Stopping node...
[ 2026-03-28 15:24:10 | node | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:10 | node | INFO ] InMemoryServer stopped at node
[ 2026-03-28 15:24:10 | node_1 | INFO ] Stopping node...
[ 2026-03-28 15:24:10 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:10 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2026-03-28 15:24:10 | node_2 | INFO ] Stopping node...
[ 2026-03-28 15:24:10 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:10 | node_2 | INFO ] InMemoryServer stopped at node_2
[ 2026-03-28 15:24:10 | node_3 | INFO ] Stopping node...
[ 2026-03-28 15:24:10 | node_3 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:10 | node_3 | INFO ] InMemoryServer stopped at node_3
[ 2026-03-28 15:24:10 | node_4 | INFO ] Stopping node...
[ 2026-03-28 15:24:10 | node_4 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:11 | node_4 | INFO ] InMemoryServer stopped at node_4
[ 2026-03-28 15:24:11 | node_5 | INFO ] Stopping node...
[ 2026-03-28 15:24:11 | node_5 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:11 | node_5 | INFO ] InMemoryServer stopped at node_5
[ 2026-03-28 15:24:11 | node_6 | INFO ] Stopping node...
[ 2026-03-28 15:24:11 | node_6 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:11 | node_6 | INFO ] InMemoryServer stopped at node_6
[ 2026-03-28 15:24:11 | node_7 | INFO ] Stopping node...
[ 2026-03-28 15:24:11 | node_7 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:11 | node_7 | INFO ] InMemoryServer stopped at node_7
[ 2026-03-28 15:24:12 | node_8 | INFO ] Stopping node...
[ 2026-03-28 15:24:12 | node_8 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:12 | node_8 | INFO ] InMemoryServer stopped at node_8
[ 2026-03-28 15:24:12 | node_9 | INFO ] Stopping node...
[ 2026-03-28 15:24:12 | node_9 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:12 | node_9 | INFO ] InMemoryServer stopped at node_9
[ 2026-03-28 15:24:13 | node_10 | INFO ] Stopping node...
[ 2026-03-28 15:24:13 | node_10 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:13 | node_10 | INFO ] InMemoryServer stopped at node_10
[ 2026-03-28 15:24:13 | node_11 | INFO ] Stopping node...
