[ 2025-12-19 00:08:16 | node_3 | INFO ] 🎓 Training done.
[ 2025-12-19 00:08:16 | node_3 | INFO ] 🧩 Model added (1/5) from ['node_3']
[ 2025-12-19 00:08:16 | node_14 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_13', 'node', 'node_12', 'node_1']
[ 2025-12-19 00:08:16 | node_13 | INFO ] 🧩 Model added (2/5) from ['node_14']
[ 2025-12-19 00:08:17 | node | INFO ] 🧩 Model added (2/5) from ['node_14']
[ 2025-12-19 00:08:17 | node | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_14', 'node_2', 'node_13']
[ 2025-12-19 00:08:17 | node_12 | INFO ] 🧩 Model added (3/5) from ['node_14']
[ 2025-12-19 00:08:17 | node_1 | INFO ] 🧩 Model added (2/5) from ['node']
[ 2025-12-19 00:08:17 | node_1 | INFO ] 🧩 Model added (3/5) from ['node_14']
[ 2025-12-19 00:08:17 | node_14 | INFO ] 🧩 Model added (2/5) from ['node']
[ 2025-12-19 00:08:17 | node_2 | INFO ] 🧩 Model added (2/5) from ['node']
[ 2025-12-19 00:08:17 | node_13 | INFO ] 🧩 Model added (3/5) from ['node']
[ 2025-12-19 00:08:17 | node_1 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_2', 'node_3', 'node_14']
[ 2025-12-19 00:08:17 | node | INFO ] 🧩 Model added (3/5) from ['node_1']
[ 2025-12-19 00:08:18 | node_2 | INFO ] 🧩 Model added (3/5) from ['node_1']
[ 2025-12-19 00:08:18 | node_3 | INFO ] 🧩 Model added (2/5) from ['node_1']
[ 2025-12-19 00:08:18 | node_14 | INFO ] 🧩 Model added (3/5) from ['node_1']
[ 2025-12-19 00:08:18 | node_2 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_3', 'node', 'node_4']
[ 2025-12-19 00:08:18 | node_1 | INFO ] 🧩 Model added (4/5) from ['node_2']
[ 2025-12-19 00:08:18 | node_3 | INFO ] 🧩 Model added (3/5) from ['node_2']
[ 2025-12-19 00:08:18 | node | INFO ] 🧩 Model added (4/5) from ['node_2']
[ 2025-12-19 00:08:18 | node_4 | INFO ] 🧩 Model added (2/5) from ['node_2']
[ 2025-12-19 00:08:19 | node_13 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_12', 'node_14', 'node_11', 'node']
[ 2025-12-19 00:08:19 | node_9 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_8', 'node_10', 'node_7', 'node_11']
[ 2025-12-19 00:08:19 | node_8 | INFO ] 🧩 Model added (3/5) from ['node_9']
[ 2025-12-19 00:08:19 | node_12 | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-19 00:08:19 | node_10 | INFO ] 🧩 Model added (2/5) from ['node_9']
[ 2025-12-19 00:08:19 | node_14 | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-19 00:08:19 | node_11 | INFO ] 🧩 Model added (3/5) from ['node_13']
[ 2025-12-19 00:08:19 | node_7 | INFO ] 🧩 Model added (2/5) from ['node_9']
[ 2025-12-19 00:08:19 | node | INFO ] 🧩 Model added (5/5) from ['node_13']
[ 2025-12-19 00:08:19 | node_11 | INFO ] 🧩 Model added (4/5) from ['node_9']
[ 2025-12-19 00:08:19 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:19 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:19 | node_12 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_11', 'node_13', 'node_10', 'node_14']
[ 2025-12-19 00:08:19 | node_11 | INFO ] 🧩 Model added (5/5) from ['node_12']
[ 2025-12-19 00:08:19 | node_13 | INFO ] 🧩 Model added (4/5) from ['node_12']
[ 2025-12-19 00:08:19 | node_10 | INFO ] 🧩 Model added (3/5) from ['node_12']
[ 2025-12-19 00:08:19 | node_14 | INFO ] 🧩 Model added (5/5) from ['node_12']
[ 2025-12-19 00:08:19 | node_14 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:19 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:20 | node_6 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_5', 'node_7', 'node_4', 'node_8']
[ 2025-12-19 00:08:20 | node_5 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_4', 'node_6', 'node_3', 'node_7']
[ 2025-12-19 00:08:20 | node_5 | INFO ] 🧩 Model added (2/5) from ['node_6']
[ 2025-12-19 00:08:20 | node_4 | INFO ] 🧩 Model added (3/5) from ['node_5']
[ 2025-12-19 00:08:20 | node_7 | INFO ] 🧩 Model added (3/5) from ['node_6']
[ 2025-12-19 00:08:20 | node_6 | INFO ] 🧩 Model added (2/5) from ['node_5']
[ 2025-12-19 00:08:20 | node_8 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_7', 'node_9', 'node_6', 'node_10']
[ 2025-12-19 00:08:20 | node_4 | INFO ] 🧩 Model added (4/5) from ['node_6']
[ 2025-12-19 00:08:20 | node_3 | INFO ] 🧩 Model added (4/5) from ['node_5']
[ 2025-12-19 00:08:20 | node_7 | INFO ] 🧩 Model added (4/5) from ['node_8']
[ 2025-12-19 00:08:20 | node_8 | INFO ] 🧩 Model added (4/5) from ['node_6']
[ 2025-12-19 00:08:20 | node_7 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-19 00:08:20 | node_9 | INFO ] 🧩 Model added (3/5) from ['node_8']
[ 2025-12-19 00:08:20 | node_4 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_3', 'node_5', 'node_2', 'node_6']
[ 2025-12-19 00:08:20 | node_6 | INFO ] 🧩 Model added (3/5) from ['node_8']
[ 2025-12-19 00:08:20 | node_3 | INFO ] 🧩 Model added (5/5) from ['node_4']
[ 2025-12-19 00:08:20 | node_10 | INFO ] 🧩 Model added (4/5) from ['node_8']
[ 2025-12-19 00:08:20 | node_5 | INFO ] 🧩 Model added (3/5) from ['node_4']
[ 2025-12-19 00:08:20 | node_2 | INFO ] 🧩 Model added (4/5) from ['node_4']
[ 2025-12-19 00:08:20 | node_6 | INFO ] 🧩 Model added (4/5) from ['node_4']
[ 2025-12-19 00:08:20 | node_11 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_10', 'node_12', 'node_9', 'node_13']
[ 2025-12-19 00:08:20 | node_10 | INFO ] 🧩 Model added (5/5) from ['node_11']
[ 2025-12-19 00:08:20 | node_10 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:20 | node_12 | INFO ] 🧩 Model added (5/5) from ['node_11']
[ 2025-12-19 00:08:20 | node_12 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:20 | node_10 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_7 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_6', 'node_8', 'node_5', 'node_9']
[ 2025-12-19 00:08:21 | node_9 | INFO ] 🧩 Model added (4/5) from ['node_11']
[ 2025-12-19 00:08:21 | node_6 | INFO ] 🧩 Model added (5/5) from ['node_7']
[ 2025-12-19 00:08:21 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_13 | INFO ] 🧩 Model added (5/5) from ['node_11']
[ 2025-12-19 00:08:21 | node_8 | INFO ] 🧩 Model added (5/5) from ['node_7']
[ 2025-12-19 00:08:21 | node_13 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_8 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_11 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_5 | INFO ] 🧩 Model added (4/5) from ['node_7']
[ 2025-12-19 00:08:21 | node_9 | INFO ] 🧩 Model added (5/5) from ['node_7']
[ 2025-12-19 00:08:21 | node_9 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_7 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_9 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:21 | node_3 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_2', 'node_4', 'node_1', 'node_5']
[ 2025-12-19 00:08:21 | node_2 | INFO ] 🧩 Model added (5/5) from ['node_3']
[ 2025-12-19 00:08:21 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_4 | INFO ] 🧩 Model added (5/5) from ['node_3']
[ 2025-12-19 00:08:21 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:21 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:22 | node_1 | INFO ] 🧩 Model added (5/5) from ['node_3']
[ 2025-12-19 00:08:22 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:22 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:22 | node_5 | INFO ] 🧩 Model added (5/5) from ['node_3']
[ 2025-12-19 00:08:22 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:22 | node_12 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:22 | node_12 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_10 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_14 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_12 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:08:22 | node_10 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_14 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_10 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_14 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:22 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:08:22 | node_3 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_3 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_3 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_6 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_6 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_6 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_13 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_13 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_11 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_13 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_8 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_11 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_8 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_11 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_8 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_9 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_9 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_7 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node_9 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node_7 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node_7 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:22 | node | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:22 | node | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:22 | node | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:23 | node_2 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:23 | node_2 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:23 | node_2 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:23 | node_4 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:23 | node_4 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:23 | node_4 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:23 | node_1 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:23 | node_1 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:23 | node_1 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:23 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:08:23 | node_5 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:08:23 | node_5 | INFO ] 🗳️ Sending train set vote.
[ 2025-12-19 00:08:24 | node_5 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:24 | node_5 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:24 | node_4 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:24 | node_5 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:24 | node_4 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:24 | node_4 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_9 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_9 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_2 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_9 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_2 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_2 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_13 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_13 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_13 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_14 | INFO ] 🔢 Computed 15 votes.
[ 2025-12-19 00:08:25 | node_14 | INFO ] 🚂 Train set of 15 nodes: ['node', 'node_3', 'node_4', 'node_13', 'node_11', 'node_7', 'node_8', 'node_6', 'node_12', 'node_5', 'node_1', 'node_9', 'node_14', 'node_2', 'node_10']
[ 2025-12-19 00:08:25 | node_14 | INFO ] 🔬 Evaluating...
[ 2025-12-19 00:08:25 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 2.900176525115967, 'test_acc\n': 0.5640000104904175, 'test_precision\n': 0.2571059465408325, 'test_recall\n': 0.2352840006351471, 'test_f1\n': 0.2302805781364441}
[ 2025-12-19 00:08:25 | node_4 | INFO ] 📢 Broadcasting metrics.
